XCoord,YCoord,START_NODE,END_NODE,EDGE,LENGTH
212000.35480205,2497591.72135721,69,68,18039,243.702536862775
211948.24856921,2498598.19717506,70,69,35,1008.45671236769
211948.24856921,2498598.19717506,70,135,18040,34.7398434311934
219427.48388953,2500171.79276837,72,57,36,6737.02318557201
219427.48388953,2500171.79276837,72,64,37,13262.4428220244
219427.48388953,2500171.79276837,72,159,80,9347.05366218833
201576.69473899,2502135.64917110,75,76,38,2398.60524656658
201576.69473899,2502135.64917110,75,78,39,13.0945963658708
201576.69473899,2502135.64917110,75,79,40,586.178023422357
199300.25514099,2501379.92216665,76,75,38,2398.60524656658
201569.67530109,2502146.70339860,78,75,39,13.0945963658708
201569.67530109,2502146.70339860,78,81,18041,3236.60769082989
201569.67530109,2502146.70339860,78,36081,18041,3236.60769082989
202132.58676636,2502321.49926477,79,75,40,586.178023422357
202364.86240019,2502420.82236658,81,82,41,14.783873185178
202364.86240019,2502420.82236658,81,78,18041,3236.60769082989
202364.86240019,2502420.82236658,81,36081,18041,3236.60769082989
202379.07867960,2502424.87949686,82,81,41,14.783873185178
202631.66372600,2502466.11381957,83,84,42,63.2039577123489
202631.66372600,2502466.11381957,83,86,44,14.6232759687879
202631.66372600,2502466.11381957,83,89,45,952.691204995226
202570.31536332,2502450.91123204,84,83,42,63.2039577123489
202556.48780612,2502462.54217882,85,86,43,74.4062698072831
202628.71046298,2502480.43577605,86,85,43,74.4062698072831
202628.71046298,2502480.43577605,86,83,44,14.6232759687879
202628.71046298,2502480.43577605,86,92,46,951.926089421799
203556.41196715,2502695.15796494,89,83,45,952.691204995226
203556.41196715,2502695.15796494,89,92,47,14.6230822207283
203556.41196715,2502695.15796494,89,95,48,300.851655124502
203552.71363506,2502709.30564579,92,86,46,951.926089421799
203552.71363506,2502709.30564579,92,89,47,14.6230822207283
203552.71363506,2502709.30564579,92,98,49,300.204186995083
203847.57223801,2502770.86538592,95,89,48,300.851655124502
203847.57223801,2502770.86538592,95,100,18042,137.658793219694
203841.88916819,2502789.88376173,98,92,49,300.204186995083
203841.88916819,2502789.88376173,98,101,18043,137.043579092807
204179.50738395,2502853.32681984,99,100,50,204.365896963755
204179.50738395,2502853.32681984,99,102,52,14.6059040646733
204179.50738395,2502853.32681984,99,107,54,568.073140625146
203981.14131369,2502804.17072140,100,99,50,204.365896963755
203981.14131369,2502804.17072140,100,95,18042,137.658793219694
203975.01127575,2502822.43290994,101,102,51,205.974755085492
203975.01127575,2502822.43290994,101,98,18043,137.043579092807
204175.99436161,2502867.50395310,102,101,51,205.974755085492
204175.99436161,2502867.50395310,102,99,52,14.6059040646733
204175.99436161,2502867.50395310,102,106,53,63.1841914749894
204175.99436161,2502867.50395310,102,110,55,567.754582031647
204115.97886994,2502883.44904642,106,102,53,63.1841914749894
204728.63143060,2502998.82552940,107,99,54,568.073140625146
204728.63143060,2502998.82552940,107,110,56,14.614396183155
204728.63143060,2502998.82552940,107,115,58,1477.11682377235
204724.80787586,2503012.93088317,110,102,55,567.754582031647
204724.80787586,2503012.93088317,110,107,56,14.614396183155
204724.80787586,2503012.93088317,110,114,57,47.3760025015871
204724.80787586,2503012.93088317,110,118,59,1476.46040023171
204712.64273111,2503058.71838001,114,110,57,47.3760025015871
206154.47717898,2503384.62081503,115,107,58,1477.11682377235
206154.47717898,2503384.62081503,115,118,60,14.6239087275215
206154.47717898,2503384.62081503,115,121,61,593.608706386323
206150.02143058,2503398.54938325,118,110,59,1476.46040023171
206150.02143058,2503398.54938325,118,115,60,14.6239087275215
206150.02143058,2503398.54938325,118,124,62,589.680379530557
206699.14355891,2503620.01168635,121,115,61,593.608706386323
206699.14355891,2503620.01168635,121,128,18045,1248.16737185278
206689.19887080,2503636.94904737,124,118,62,589.680379530557
206689.19887080,2503636.94904737,124,129,18046,1244.13544060312
234242.86398040,2494044.60490518,125,126,63,10010.9583034843
234242.86398040,2494044.60490518,125,52,18037,68.6142895790473
233890.94474642,2503929.00964696,126,125,63,10010.9583034843
233890.94474642,2503929.00964696,126,133,18044,35.2096821394998
208553.22810545,2504461.21950438,127,128,64,789.214508772834
208553.22810545,2504461.21950438,127,130,66,14.5075586420397
208553.22810545,2504461.21950438,127,137,69,3586.9820875179
207841.45957648,2504123.03842933,128,127,64,789.214508772834
207841.45957648,2504123.03842933,128,121,18045,1248.16737185278
207827.91890957,2504138.13730329,129,130,65,788.160500209045
207827.91890957,2504138.13730329,129,124,18046,1244.13544060312
208541.95016902,2504470.34514998,130,129,65,788.160500209045
208541.95016902,2504470.34514998,130,127,66,14.5075586420397
208541.95016902,2504470.34514998,130,146,73,3657.93023755071
233895.29689139,2503963.94931712,133,134,67,1511.89988080884
233895.29689139,2503963.94931712,133,126,18044,35.2096821394998
234071.64575620,2505465.47949474,134,133,67,1511.89988080884
234071.64575620,2505465.47949474,134,281,18047,24.3419149160059
211946.55346063,2498632.89563797,135,136,68,7629.49387416044
211946.55346063,2498632.89563797,135,70,18040,34.7398434311934
211689.58731399,2506258.04101334,136,135,68,7629.49387416044
211689.58731399,2506258.04101334,136,137,70,83.1401461657071
211689.58731399,2506258.04101334,136,141,72,65.6896438211123
211689.58731399,2506258.04101334,136,149,76,89.0442893530583
211632.64918884,2506297.50587492,137,127,69,3586.9820875179
211632.64918884,2506297.50587492,137,136,70,83.1401461657071
211632.64918884,2506297.50587492,137,141,71,56.9668901378257
211683.37250422,2506323.43600890,141,137,71,56.9668901378257
211683.37250422,2506323.43600890,141,136,72,65.6896438211123
211683.37250422,2506323.43600890,141,146,74,11.5692782175331
211683.37250422,2506323.43600890,141,149,75,36.8386387074518
211686.67817101,2506334.52297267,146,130,73,3657.93023755071
211686.67817101,2506334.52297267,146,141,74,11.5692782175331
211686.67817101,2506334.52297267,146,156,78,591.831729019583
211716.16680553,2506340.21751968,149,141,75,36.8386387074518
211716.16680553,2506340.21751968,149,136,76,89.0442893530583
211716.16680553,2506340.21751968,149,153,77,561.826138460169
212243.87302534,2506526.43946118,153,149,77,561.826138460169
212243.87302534,2506526.43946118,153,156,79,6.30109548593905
212243.87302534,2506526.43946118,153,161,81,730.187863755956
212242.01118128,2506532.45920710,156,146,78,591.831729019583
212242.01118128,2506532.45920710,156,153,79,6.30109548593905
212242.01118128,2506532.45920710,156,178,89,756.530982387754
212242.01118128,2506532.45920710,156,577,289,22574.6953206472
212926.17291931,2506879.29450926,159,72,80,9347.05366218833
212926.17291931,2506879.29450926,159,164,82,39.4119114050768
212926.17291931,2506879.29450926,159,165,83,36.9511706447898
212853.99821899,2506898.97018546,161,153,81,730.187863755956
212853.99821899,2506898.97018546,161,164,84,46.1983779401719
212853.99821899,2506898.97018546,161,173,87,32.6499995608753
212896.40388155,2506905.12232238,164,159,82,39.4119114050768
212896.40388155,2506905.12232238,164,161,84,46.1983779401719
212896.40388155,2506905.12232238,164,173,88,29.3551747541741
212903.70668028,2506908.35427213,165,159,83,36.9511706447898
212903.70668028,2506908.35427213,165,181,92,33.0909341400092
212903.70668028,2506908.35427213,165,189,96,55.2855605181834
247105.07286154,2506914.96837974,169,170,85,696.818872195
247105.07286154,2506914.96837974,169,172,86,2778.17822387877
247628.45044545,2506456.73021183,170,169,85,696.818872195
247103.91486213,2504243.48814242,172,169,86,2778.17822387877
212874.35245780,2506924.49913831,173,161,87,32.6499995608753
212874.35245780,2506924.49913831,173,164,88,29.3551747541741
212874.35245780,2506924.49913831,173,178,90,9.95993630596782
212874.35245780,2506924.49913831,173,181,91,7.86078867744215
212866.18888539,2506930.20496136,178,156,89,756.530982387754
212866.18888539,2506930.20496136,178,173,90,9.95993630596782
212866.18888539,2506930.20496136,178,186,93,8.06340654056393
212879.25143085,2506930.64666315,181,173,91,7.86078867744215
212879.25143085,2506930.64666315,181,165,92,33.0909341400092
212879.25143085,2506930.64666315,181,186,94,9.83192948228361
212879.25143085,2506930.64666315,181,189,95,38.1485072171756
212871.30547721,2506936.43705677,186,178,93,8.06340654056393
212871.30547721,2506936.43705677,186,181,94,9.83192948228361
212871.30547721,2506936.43705677,186,202,101,3536.6867550568
212903.02969433,2506960.47790162,189,181,95,38.1485072171756
212903.02969433,2506960.47790162,189,165,96,55.2855605181834
212903.02969433,2506960.47790162,189,193,97,3474.02602552914
215329.68551440,2509409.04464461,193,189,97,3474.02602552914
215329.68551440,2509409.04464461,193,195,98,28.2508587772608
215329.68551440,2509409.04464461,193,197,100,63.3673463234448
215343.05741674,2509433.93044878,195,193,98,28.2508587772608
215343.05741674,2509433.93044878,195,197,99,43.6930837992673
215343.05741674,2509433.93044878,195,202,102,12.4601867230841
215343.05741674,2509433.93044878,195,205,103,9.32759696064895
